heuristic_joint_label,ml_joint_label,rows
dwi::unknown,anat::PD,2
dwi::dwi,perf::perfTimingMap,2
dwi::dwiSegmentationOrMask,perf::dce,2
dwi::dwiSegmentationOrMask,localizer::localizer,2
dwi::dwiSegmentationOrMask,dwi::dwiOtherDerived,2
anat::T2w,fmap::magnitude,2
perf::unknown,perf::dce,2
dwi::dwiParamMap,perf::perfTimingMap,2
perf::perfCbvLikeMap,dwi::dwi,2
fmap::unknown,dwi::dwiOtherDerived,2
unknown::unknown,fmap::fmapOtherDerived,2
anat::T1w,anat::PD,2
anat::T2starw,fmap::magnitude,2
anat::FLAIR,dwi::dwiSegmentationOrMask,2
perf::perfTimingMap,dwi::dwi,2
dwi::dwi,fmap::epi,2
anat::T1w,func::bold,2
anat::T1w,fmap::phasediff,2
fmap::magnitude,anat::T2starw,2
fmap::magnitude,dwi::dwiOtherDerived,2
fmap::fmapOtherDerived,dwi::dwiOtherDerived,2
anat::T2w,dwi::dwiSegmentationOrMask,2
anat::unknown,dwi::dwiSegmentationOrMask,2
fmap::fmapOtherDerived,dwi::dwiParamMap,2
fmap::epi,localizer::localizer,2
anat::unknown,fmap::phasediff,2
perf::perfCbfLikeMap,perf::dce,2
anat::PD,localizer::localizer,2
anat::T2w,anat::PD,2
anat::PD,perf::dsc,2
anat::T1w,perf::perfTimingMap,2
localizer::localizer,anat::PD,2
anat::T2starw,anat::SWI,2
anat::PD,anat::T1w,2
anat::FLAIR,perf::perfTimingMap,2
dwi::dwiOtherDerived,fmap::phasediff,2
anat::T2w,anat::anatReformat,2
anat::SWI,anat::T2w,2
fmap::unknown,anat::T2starw,2
dwi::dwiOtherDerived,dwi::dwiSegmentationOrMask,2
perf::perfTimingMap,localizer::localizer,1
unknown::unknown,dwi::dwiSegmentationOrMask,1
unknown::unknown,fmap::epi,1
perf::dsc,fmap::phasediff,1
perf::dsc,func::bold,1
unknown::unknown,anat::PD,1
perf::dsc,perf::perfTimingMap,1
perf::unknown,fmap::fmapOtherDerived,1
perf::unknown,anat::anatReformat,1
anat::FLAIR,anat::PD,1
perf::dce,perf::perfCbfLikeMap,1
fmap::epi,anat::T2starw,1
dwi::unknown,func::bold,1
dwi::dwiSegmentationOrMask,anat::T2w,1
dwi::dwiSegmentationOrMask,anat::T2starw,1
dwi::dwiSegmentationOrMask,anat::FLAIR,1
anat::FLAIR,anat::SWI,1
dwi::dwiParamMap,fmap::fmapOtherDerived,1
dwi::dwiParamMap,anat::PD,1
dwi::dwi,func::bold,1
anat::unknown,func::bold,1
anat::unknown,anat::PD,1
anat::anatSegmentation,anat::FLAIR,1
anat::anatReformat,perf::perfCbfLikeMap,1
anat::T2w,fmap::epi,1
anat::T2starw,perf::perfTimingMap,1
anat::T1w,perf::perfCbvLikeMap,1
anat::T1w,fmap::fmapOtherDerived,1
anat::T1w,fmap::epi,1
anat::SWI,perf::dce,1
anat::SWI,anat::anatReformat,1
anat::SWI,anat::T2starw,1
anat::FLAIR,func::bold,1
anat::FLAIR,fmap::phasediff,1
anat::FLAIR,fmap::fmapOtherDerived,1
fmap::epi,anat::T1w,1
fmap::fmapSusceptibilityOrPhaseMap,dwi::dwi,1
perf::dce,fmap::phasediff,1
fmap::fmapSusceptibilityOrPhaseMap,perf::dsc,1
perf::dce,dwi::dwiSegmentationOrMask,1
perf::dce,anat::SWI,1
localizer::localizer,perf::perfTimingMap,1
localizer::localizer,func::bold,1
localizer::localizer,fmap::phasediff,1
localizer::localizer,fmap::epi,1
func::funcStatMap,dwi::dwi,1
func::bold,perf::dsc,1
func::bold,dwi::dwi,1
func::bold,anat::T1w,1
fmap::unknown,perf::dsc,1
fmap::unknown,fmap::phasediff,1
fmap::unknown,fmap::magnitude,1
fmap::unknown,anat::anatReformat,1
fmap::unknown,anat::T2w,1
fmap::unknown,anat::FLAIR,1
fmap::phasediff,perf::perfCbfLikeMap,1
fmap::phasediff,perf::dsc,1
fmap::phasediff,dwi::dwiOtherDerived,1
fmap::phasediff,anat::T2starw,1
fmap::phasediff,anat::FLAIR,1
fmap::magnitude,perf::perfCbfLikeMap,1
fmap::magnitude,perf::dce,1
unknown::unknown,perf::perfTimingMap,1
